timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748795841269328,1748795841356552,'r',r,87.22,635.19
1748795841452544,1748795841551210,'f',f,98.67,95.99
1748795841861818,1748795841902417,'g',g,40.6,310.61
1748795841995803,1748795842076349,'t',t,80.55,93.39
1748795842153734,1748795842213977,'k',k,60.24,77.38
1748795842298502,1748795842395246,'m',m,96.74,84.53
1748795842557165,1748795842617556,'l',l,60.39,161.92
1748795842733194,1748795842795906,'j',j,62.71,115.64
1748795843066397,1748795843112485,';',;,46.09,270.49
1748795843715936,1748795843786591,'l',l,70.65,603.45
1748795844019607,1748795844098947,'z',z,79.34,233.02
1748795844346410,1748795844419995,'?',?,73.59,247.46
1748795846616554,1748795846696614,'g',g,80.06,2196.56
1748795846711089,1748795846770582,'h',h,59.49,14.48
1748795846803448,1748795846877833,'b',b,74.39,32.87
1748795846965668,1748795847062953,'x',x,97.29,87.83
1748795847112458,1748795847216820,'e',e,104.36,49.51
1748795847349988,1748795847439626,'l',l,89.64,133.17
1748795847626145,1748795847686569,'k',k,60.42,186.52
1748795847716325,1748795847805105,'b',b,88.78,29.76
1748795847970563,1748795848037459,'d',d,66.9,165.46
1748795848091225,1748795848138408,'j',j,47.18,53.77
1748795848806719,1748795848884371,'t',t,77.65,668.31
1748795849162731,1748795849238440,'n',n,75.71,278.36
1748795849275643,1748795849357802,'t',t,82.16,37.2
1748795849500436,1748795849594481,'y',y,94.04,142.63
1748795849623336,1748795849691239,'b',b,67.9,28.86
1748795850653378,1748795850725999,'y',y,72.62,962.14
1748795850734954,1748795850825924,'f',f,90.97,8.95
1748795850978953,1748795851046846,'c',c,67.89,153.03
1748795851034784,1748795851108953,'n',n,74.17,-12.06
1748795851174825,1748795851243151,'t',t,68.33,65.87
1748795851336593,1748795851417662,'y',y,81.07,93.44
1748795851531872,1748795851611709,'f',f,79.84,114.21
1748795851652855,1748795851725225,'[',[,72.37,41.15
1748795852137631,1748795852211339,'l',l,73.71,412.41
1748795852336082,1748795852399091,'j',j,63.01,124.74
1748795852423740,1748795852506034,'v',v,82.29,24.65
1748795852508032,1748795852573783,'j',j,65.75,2.0
1748795853099111,1748795853180130,'d',d,81.02,525.33
1748795853513452,1748795853598693,'/',/,85.24,333.32
1748795854022682,1748795854034677,'J',J,12.0,423.99
1748795854180684,1748795854248609,'y',y,67.92,146.01
1748795855076345,1748795855150632,'d',d,74.29,827.74
